Attribute,#,Avail,Avg Sale,Cheapest
Beanie,44,7,265.78,800
Choker,48,10,120.21,275
PilotHelmet,54,9,233.74,355
Tiara,55,7,148.05,399
OrangeSide,68,17,118.61,239
BuckTeeth,78,15,96.26,176
WeldingGoggles,86,17,113.00,187
Pigtails,94,20,90.22,158
PinkWithHat,95,17,102.31,180
TopHat,115,25,121.50,200
Spots,124,20,63.51,160
RosyCheeks,128,17,68.91,174
BlondeShort,129,17,68.98,140
WildWhiteHair,136,21,95.20,199
CowboyHat,142,16,97.42,261
WildBlonde,144,17,87.75,199
StraightHairBlonde,144,31,84.54,129
BigBeard,146,29,78.94,140
RedMohawk,147,12,75.34,127
HalfShaved,147,21,65.80,137
BlondeBob,147,19,75.76,139
VampireHair,147,30,74.23,118
ClownHairGreen,148,28,69.57,128
StraightHairDark,148,14,62.76,125
StraightHair,151,24,58.72,129
SilverChain,156,29,68.89,125
DarkHair,157,21,57.79,148
PurpleHair,165,28,91.03,150
GoldChain,169,33,106.35,150
MedicalMask,175,28,79.75,129
TassleHat,178,17,72.36,129.98
Fedora,186,30,76.09,138
PoliceCap,203,24,66.05,133
ClownNose,212,33,80.03,111
Smile,238,42,81.21,152
CapForward,254,40,70.82,134.98
Hoodie,259,35,184.69,299.99
FrontBeardDark,260,33,59.66,110
Frown,261,36,57.51,129.90
PurpleEyeShadow,262,26,63.51,125
Handlebars,263,31,65.34,116.88
BlueEyeShadow,266,29,59.74,125
GreenEyeShadow,271,32,64.97,123.99
Vape,272,33,78.80,118
FrontBeard,273,33,62.07,109
Chinstrap,282,35,70.12,120
3DGlasses,286,52,112.46,185
LuxuriousBeard,286,56,84.54,139.99
Mustache,288,32,60.15,123
NormalBeardBlack,289,43,68.79,122.80
NormalBeard,292,39,77.89,104.99
EyeMask,293,42,72.68,124
Goat,295,46,62.43,107.50
Do-rag,300,33,52.67,116.88
ShavedHead,300,41,61.80,107.50
Muttonchops,303,29,59.21,128
PeakSpike,303,30,62.23,115
Pipe,317,52,84.20,135
VR,332,51,86.86,165
Cap,351,55,81.78,142
SmallShades,378,45,62.61,127
ClownEyesGreen,382,51,70.18,113.50
ClownEyesBlue,384,52,62.24,103
Headband,406,51,61.85,119
CrazyHair,414,55,78.06,119.95
KnittedCap,419,57,63.11,109
MohawkDark,429,41,52.02,115
Mohawk,441,48,55.39,113.50
MohawkThin,441,54,56.29,103
FrumpyHair,442,46,53.59,107.50
WildHair,447,52,66.85,115
MessyHair,460,39,63.57,118.88
EyePatch,461,59,66.78,117.95
StringyHair,463,52,44.52,110
Bandana,481,66,61.41,115
ClassicShades,502,64,62.91,112
ShadowBeard,526,68,75.84,115
RegularShades,527,80,73.59,117
HornedRimGlasses,535,56,61.39,116
BigShades,535,80,87.83,135
NerdGlasses,572,67,73.43,128
BlackLipstick,617,88,59.60,115
Mole,644,83,60.63,115
PurpleLipstick,655,81,71.04,120
HotLipstick,696,92,66.22,112
Cigarette,961,134,66.05,115
Earring,2459,348,66.04,118.88
